date	family	page_url	pcap_zip_urls	index_title
2020-06-03	Dridex	https://www.malware-traffic-analysis.net/2020/06/03/index.html	https://www.malware-traffic-analysis.net/2020/06/03/2020-06-03-example-of-Dridex-infection-traffic.pcap.zip	Malspam pushing Dridex
2020-07-17	Emotet	https://www.malware-traffic-analysis.net/2020/07/17/index.html	https://www.malware-traffic-analysis.net/2020/07/17/2020-07-17-Emotet-infection-traffic.pcap.zip	Quick post: Emotet infection
2021-01-15	Emotet	https://www.malware-traffic-analysis.net/2021/01/15/index.html	https://www.malware-traffic-analysis.net/2021/01/15/2021-01-15-Emotet-epoch-1-infection-traffic.pcap.zip	Emotet infection from Epoch 1 botnet
2021-11-30	Emotet	https://www.malware-traffic-analysis.net/2021/11/30/index.html	https://www.malware-traffic-analysis.net/2021/11/30/2021-11-30-Emotet-epoch4-infection-from-appinstaller.pcap.zip	Emotet epoch 4 uses appinstaller for infection
2022-02-08	Emotet	https://www.malware-traffic-analysis.net/2022/02/08/index.html	https://www.malware-traffic-analysis.net/2022/02/08/2022-02-08-Emotet-epoch4-infection-start-and-spambot-traffic.pcap.zip|https://www.malware-traffic-analysis.net/2022/02/08/2022-02-08-Emotet-epoch5-infection-part-1-start-and-spambot-traffic.pcap.zip|https://www.malware-traffic-analysis.net/2022/02/08/2022-02-08-Emotet-epoch5-infection-part-2-with-Cobalt-Strike.pcap.zip	Files for an ISC diary (Emotet with Cobalt Strike)
2022-03-01	Emotet	https://www.malware-traffic-analysis.net/2022/03/01/index.html	https://www.malware-traffic-analysis.net/2022/03/01/2022-03-01-Emotet-epoch4-infection-with-Cobalt-Strike-and-spambot-traffic.pcap.zip	Emotet epoch4 infection with Cobalt Strike and spambot traffic
2022-03-24	Emotet	https://www.malware-traffic-analysis.net/2022/03/24/index.html	https://www.malware-traffic-analysis.net/2022/03/24/2022-03-24-Emotet-epoch4-with-Cobalt-Strike-carved.pcap.zip	Emotet epoch4 infection with Cobalt Strike
2022-04-25	Emotet	https://www.malware-traffic-analysis.net/2022/04/25/index.html	https://www.malware-traffic-analysis.net/2022/04/25/2022-04-25-Emotet-epoch4-infection-with-spambot-traffic.pcap.zip	Emotet epoch4 activity (LNK files)
2022-07-07	Emotet	https://www.malware-traffic-analysis.net/2022/07/07/index.html	https://www.malware-traffic-analysis.net/2022/07/07/2022-07-07-Emotet-infection-with-Cobalt-Strike.pcap.zip	Files for an ISC diary (Emotet with Cobalt Strike)
2020-07-16	Hancitor	https://www.malware-traffic-analysis.net/2020/07/16/index.html	https://www.malware-traffic-analysis.net/2020/07/16/2020-07-16-Hancitor-infection-traffic.pcap.zip	Malware-Traffic-Analysis.net - 2020-07-16 - Hancitor infection with info stealer
2020-12-14	Hancitor	https://www.malware-traffic-analysis.net/2020/12/14/index.html	https://www.malware-traffic-analysis.net/2020/12/14/2020-12-14-Hancitor-infection-with-Cobalt-Strike-and-Ficker-Stealer.pcap.zip	Malware-Traffic-Analysis.net - 2020-12-14 - Quick post: Hancitor infection with Cobalt Strike and Ficker Stealer
2021-01-12	Hancitor	https://www.malware-traffic-analysis.net/2021/01/12/index.html	https://www.malware-traffic-analysis.net/2021/01/12/2021-01-12-Hancitor-infection-with-Cobalt-Strike.pcap.zip	Malware-Traffic-Analysis.net - 2021-01-12 - Files for an ISC diary (Hancitor)
2021-02-02	Hancitor	https://www.malware-traffic-analysis.net/2021/02/02/index.html	https://www.malware-traffic-analysis.net/2021/02/02/2021-02-02-Hancitor-with-Ficker-Stealer-and-Cobalt-Strike-and-NetSupport-RAT.pcap.zip	Malware-Traffic-Analysis.net - 2021-02-02 - Quick post: Hancitor infection with Ficker Stealer, Cobalt Strike, and NetSupport RAT
2021-02-09	Hancitor	https://www.malware-traffic-analysis.net/2021/02/09/index2.html	https://www.malware-traffic-analysis.net/2021/02/09/2021-02-09-Hancitor-infection-with-Cobalt-Strike.pcap.zip	Malware-Traffic-Analysis.net - 2021-02-09 - Quick post: Hancitor infection with Cobalt Strike
2021-03-18	Hancitor	https://www.malware-traffic-analysis.net/2021/03/18/index.html	https://www.malware-traffic-analysis.net/2021/03/18/2021-03-18-Hancitor-infection-traffic.pcap.zip	Malware-Traffic-Analysis.net - 2021-03-18 - Hancitor (Chanitor) activity (MAN1/Moskalvzapoe/TA511)
2021-04-07	Hancitor	https://www.malware-traffic-analysis.net/2021/04/07/index.html	https://www.malware-traffic-analysis.net/2021/04/07/2021-04-07-Hancitor-infection-with-Cobalt-Strike-and-Ficker-Stealer.pcap.zip	Malware-Traffic-Analysis.net - 2021-04-07 - Data dump: Hancitor activity
