date	family	page_url	pcap_zip_url	index_title
2020-02-06	Trickbot	https://www.malware-traffic-analysis.net/2020/02/06/index.html	https://www.malware-traffic-analysis.net/2020/02/06/2020-02-06-Emotet-epoch-2-with-Trickbot-gtag-mor92.pcap.zip	Quick post: Pcap of Emotet infection with Trickbot
2020-02-07	Trickbot	https://www.malware-traffic-analysis.net/2020/02/07/index.html	https://www.malware-traffic-analysis.net/2020/02/07/2020-02-07-Emotet-epoch-2-infection-with-Trickbot-gtag-mor93.pcap.zip	Quick post: Emotet epoch 2 infection with Trickbot gtag mor93
2020-02-11	Ursnif	https://www.malware-traffic-analysis.net/2020/02/11/index.html	https://www.malware-traffic-analysis.net/2020/02/11/2020-02-11-Ursnif-infection-traffic.pcap.zip	Pcap and malware for an ISC diary (Ursnif/Gozi/ISFB)
2020-02-24	Ursnif	https://www.malware-traffic-analysis.net/2020/02/24/index.html	https://www.malware-traffic-analysis.net/2020/02/24/2020-02-24-Ursnif-infection-from-Italian-XLS-macro.pcap.zip	Ursnif (Gozi/ISFB) infection from Italian XLS spreadsheet with macros
2020-02-25	Trickbot	https://www.malware-traffic-analysis.net/2020/02/25/index.html	https://www.malware-traffic-analysis.net/2020/02/25/2020-02-25-Trickbot-gtag-red4-infection-traffic.pcap.zip	Trickbot gtag red4 distributed as DLL file
2020-02-26	Trickbot	https://www.malware-traffic-analysis.net/2020/02/26/index.html	https://www.malware-traffic-analysis.net/2020/02/26/2020-02-26-Trickbot-spreads-from-infected-client-to-DC.pcap.zip	Quick post: Trickbot spreads from infected client to DC
2020-03-03	Ursnif	https://www.malware-traffic-analysis.net/2020/03/03/index.html	https://www.malware-traffic-analysis.net/2020/03/03/2020-03-03-Ursnif-infection-traffic.pcap.zip	German malspam pushes Ursnif (Gozi/ISFB)
2020-03-04	Trickbot	https://www.malware-traffic-analysis.net/2020/03/04/index.html	https://www.malware-traffic-analysis.net/2020/03/04/2020-03-04-Trickbot-spreads-from-client-to-DC.pcap.zip	Quick post: Trickbot spreads from infected client to DC
2020-03-09	Trickbot	https://www.malware-traffic-analysis.net/2020/03/09/index.html	https://www.malware-traffic-analysis.net/2020/03/09/2020-03-09-fastloader-and-Trickbot-infection-traffic.pcap.zip	Quick post: Fastloader --> Trickbot gtag wmd44
2020-03-10	Ursnif	https://www.malware-traffic-analysis.net/2020/03/10/index.html	https://www.malware-traffic-analysis.net/2020/03/10/2020-03-10-Ursnif-infection-from-German-malspam-with-password-protected-zip-attachment.pcap.zip	German malspam with password-protected zip files pushing Ursnif (Gozi/ISFB)
2020-03-17	Trickbot	https://www.malware-traffic-analysis.net/2020/03/17/index.html	https://www.malware-traffic-analysis.net/2020/03/17/2020-03-17-Trickbot-as-DLL-gtag-red5.pcap.zip	Pcap and malware for an ISC diary (Trickbot as a DLL)
2020-03-18	Ursnif	https://www.malware-traffic-analysis.net/2020/03/18/index.html	https://www.malware-traffic-analysis.net/2020/03/18/2020-03-18-Ursnif-infection-from-German-malspam-attachment.pcap.zip	German malspam pushes Ursnif (Gozi/IFSB)
2020-03-19	Ursnif	https://www.malware-traffic-analysis.net/2020/03/19/index.html	https://www.malware-traffic-analysis.net/2020/03/19/2020-03-19-Ursnif-infection-traffic.pcap.zip	English malspam pushes Ursnif (Gozi/IFSB)
2020-03-23	Ursnif	https://www.malware-traffic-analysis.net/2020/03/23/index.html	https://www.malware-traffic-analysis.net/2020/03/23/2020-03-23-Ursnif-infection-traffic.pcap.zip	Polish malspam with XLS attachment pushes Ursnif (Gozi/IFSB/Dreambot)
2020-03-31	Ursnif	https://www.malware-traffic-analysis.net/2020/03/31/index.html	https://www.malware-traffic-analysis.net/2020/03/31/2020-03-31-Ursnif-infection-traffic.pcap.zip	Ursnif (Gozi/IFSB) infection
2020-04-13	Trickbot	https://www.malware-traffic-analysis.net/2020/04/13/index2.html	https://www.malware-traffic-analysis.net/2020/04/13/2020-04-13-Trickbot-gtag-man6-infection-traffic.pcap.zip	Quick post: Pcaps for two Trickbot infections
2020-04-13	Trickbot	https://www.malware-traffic-analysis.net/2020/04/13/index2.html	https://www.malware-traffic-analysis.net/2020/04/13/2020-04-13-Trickbot-gtag-yas27-infection-traffic.pcap.zip	Quick post: Pcaps for two Trickbot infections
2020-04-21	Trickbot	https://www.malware-traffic-analysis.net/2020/04/21/index2.html	https://www.malware-traffic-analysis.net/2020/04/21/2020-04-21-Fastloader-pushes-Trickbot-and-AnyDesk-traffic.pcap.zip	Quick post: Word macro --> Fastloader pushing Trickbot & AnyDesk
2020-04-27	Dridex	https://www.malware-traffic-analysis.net/2020/04/27/index.html	https://www.malware-traffic-analysis.net/2020/04/27/2020-04-27-Dridex-infection-traffic.pcap.zip	Quick post: Dridex malspam and infection
2020-04-28	Dridex	https://www.malware-traffic-analysis.net/2020/04/28/index.html	https://www.malware-traffic-analysis.net/2020/04/28/2020-04-28-Dridex-infection-traffic.pcap.zip	Quick post: Dridex malspam and infection
2020-04-29	Dridex	https://www.malware-traffic-analysis.net/2020/04/29/index.html	https://www.malware-traffic-analysis.net/2020/04/29/2020-04-29-Dridex-infection-from-link-based-malspam.pcap.zip	Dridex from link-based malspam
2020-04-30	Dridex	https://www.malware-traffic-analysis.net/2020/04/30/index.html	https://www.malware-traffic-analysis.net/2020/04/30/2020-04-30-Dridex-infection-from-attachment-in-German-malspam.pcap.zip	Password-protected zip files from German malspam push Dridex
2020-05-08	Trickbot	https://www.malware-traffic-analysis.net/2020/05/08/index.html	https://www.malware-traffic-analysis.net/2020/05/08/2020-05-08-Trickbot-infection-in-AD-environment.pcap.zip	Quick post: Trickbot (gtag chil13) infection in AD environment
2020-05-11	Dridex	https://www.malware-traffic-analysis.net/2020/05/11/index.html	https://www.malware-traffic-analysis.net/2020/05/11/2020-05-11-Dridex-infection-traffic-from-link-based-malspam.pcap.zip	Dridex infection from link-based malspam
2020-05-12	Dridex	https://www.malware-traffic-analysis.net/2020/05/12/index.html	https://www.malware-traffic-analysis.net/2020/05/12/2020-05-12-Dridex-infection-traffic-from-link-in-malspam.pcap.zip	Pcap and malware from an ISC diary (Dridex)
2020-05-14	Dridex	https://www.malware-traffic-analysis.net/2020/05/14/index2.html	https://www.malware-traffic-analysis.net/2020/05/14/2020-05-14-infection-traffic-from-fedex-themed-Dridex-malspam.pcap.zip	Quick post: FedEx-themed Dridex malspam and infection
2020-06-10	Trickbot	https://www.malware-traffic-analysis.net/2020/06/10/index.html	https://www.malware-traffic-analysis.net/2020/06/10/2020-06-10-Trickbot-gtag-gi6-infection-traffic.pcap.zip	Quick post: Trickbot gtag gi6 infection in AD environment
2020-06-10	Ursnif	https://www.malware-traffic-analysis.net/2020/06/10/index2.html	https://www.malware-traffic-analysis.net/2020/06/10/2020-06-10-Ursnif-with-Ursnif-infection-traffic.pcap.zip	Ursnif (Gozi/IFSB) infection with Ursnif variant
2020-06-16	Trickbot	https://www.malware-traffic-analysis.net/2020/06/16/index.html	https://www.malware-traffic-analysis.net/2020/06/16/2020-06-16-Trickbot-gtag-ono47-infection-traffic.pcap.zip	Trickbot gtag ono47 infection
2020-06-22	Dridex	https://www.malware-traffic-analysis.net/2020/06/22/index.html	https://www.malware-traffic-analysis.net/2020/06/22/2020-06-22-Dridex-infection-traffic.pcap.zip	Quick post: Dridex infection
2020-06-25	Trickbot	https://www.malware-traffic-analysis.net/2020/06/25/index.html	https://www.malware-traffic-analysis.net/2020/06/25/2020-06-25-Trickbot-gtag-gi6-infection-traffic.pcap.zip	Trickbot from BLM malspam
2020-07-07	Ursnif	https://www.malware-traffic-analysis.net/2020/07/07/index.html	https://www.malware-traffic-analysis.net/2020/07/07/2020-07-07-Ursnif-infection-with-IcedID.pcap.zip	Quick post: Ursnif (Gozi/IFSB) with IcedID from English Word docs
2020-07-10	Trickbot	https://www.malware-traffic-analysis.net/2020/07/10/index.html	https://www.malware-traffic-analysis.net/2020/07/10/2020-07-10-Trickbot-gtag-chil65-infection-traffic.pcap.zip	Trickbot gtag chil65 infection
2020-07-13	Dridex	https://www.malware-traffic-analysis.net/2020/07/13/index2.html	https://www.malware-traffic-analysis.net/2020/07/13/2020-07-13-Dridex-infection-traffic.pcap.zip	Dridex infection
2020-07-13	Ursnif	https://www.malware-traffic-analysis.net/2020/07/13/index.html	https://www.malware-traffic-analysis.net/2020/07/13/2020-07-13-Hancitor-infection-with-Ursnif.pcap.zip	Hancitor infection with Gozi/ISFB (Ursnif)
2020-07-20	Trickbot	https://www.malware-traffic-analysis.net/2020/07/20/index2.html	https://www.malware-traffic-analysis.net/2020/07/20/2020-07-20-Emotet-epoch-1-infection-with-Trickbot-gtag-mor113.pcap.zip	Data dump: Emotet infection with Trickbot
